passiveTaskCode	passiveTitle	passiveDescription	passiveStarRating	passiveCategory1	passiveCategory2	passiveCategory3	passivePlacementReason
W3E3	Assemble the Mizuyari	Seiryu's Fang can be purchased at a cost of 5,000 Chimes when owning Seiryu's claw. The claw is a rare drop from Arhats, requiring a Slayer level of 96 to harm. They can be found in the Well of Spirits, which requires completion of the Spiritual Enlightenment miniquest. It also is a rare drop from the Temple of Aminishi when using Lucky charms.	3	-	Elite	Master	Assembly based on item drops in latest possible tier
79GZ	Overcharge your Pontifex shadow ring	You can overcharge your ring by adding 5,000 of each anima type after fully upgrading it.	4	Hard	Elite	Master	High kill requirement
4BBY	Craft Pernix's Quiver	If you have the top tier Pontifex Ring, youÃ¢â‚¬â„¢ll start to find Quiver Fragments in tier 3 Elder Troves. You need 100 Fragments to make the quiver.	3	-	Elite	Master	High kill requirement for troves
N44N	Upgrade your TokHaar-Kal-Ket to the Igneous Kal-Ket	The TokHaar-Kal-cape is upgraded by infusing it with an Igneous stone obtained by defeating TzKal-Zuk without using checkpoints.	3	-	-	Master	Assembly based on item drops in latest possible tier
JBBK	Upgrade your TokHaar-Kal-Xil to the Igneous Kal-Xil	The TokHaar-Kal-cape is upgraded by infusing it with an Igneous stone obtained by defeating TzKal-Zuk without using checkpoints.	3	-	-	Master	Assembly based on item drops in latest possible tier
RGG4	Upgrade your TokHaar-Kal-Mej to the Igneous Kal-Mej	The TokHaar-Kal-cape is upgraded by infusing it with an Igneous stone obtained by defeating TzKal-Zuk without using checkpoints.	3	-	-	Master	Assembly based on item drops in latest possible tier
4EJ6	Combine your Igneous Kal-capes into the Igneous Kal-Zuk	The ability to create the Igneous Kal-Zuk requires a flawless defeat of TzKal-Zuk in hard mode. It furthermore requires each of the Igneous Kal-capes.	4	-	Master	Legendary	Assembly based on item drops in latest possible tier
844V	Create the Ek-ZekKil	The sword is obtained by combining an Obsidian blade, a Magma core, and an Ancient hilt, all of which can be obtained after defeating TzKal-Zuk in Hard Mode.	5	-	Master	Legendary	Assembly based on item drops in latest possible tier
4JBK	Create all limitless staves	The staff is created by attaching an Elemental impetus to a Mystic staff. This requires a Crafting level of 75.	4	Elite	Legendary	God	Clue RNG
DKQD	Create a set of Cryptbloom armour	The incomplete helm dropped by Croesus can be combined with 1,000 Croesus flakes, requiring a Crafting level of 90.	5	-	-	Master	Crafting level + Assembly based on item drops in latest possible tier
N4KZ	Assemble the fractured staff of Armadyl	The staff is assembled from three pieces, all of which are dropped by Hard Mode Kerapac. This also requires a Crafting level of 95.	5	-	Master	Legendary	Assembly based on item drops in latest possible tier
Y456	Assemble a Dragon square shield	The Dragon square shield is assembled from a Shield left half, a rare item obtain through the rare drop table, and a Shield right half, which can be bought for 750,000 GP from Siegfried Erkle underneat the Legend's Guild. Assembling the shield requires a Smithing level of 60 and can be done at an anvil.	3	Medium	Hard	Elite	Assembly based on item drops in latest possible tier
MR96	Create all enhanced glove and Matriarch ring Enchantments	Requires an Invention level of 80 to be assembled from 8 Slivers of strength, 6 Shadow components and an Abyssal vine whip.	5	Hard	Elite	Master	Invention requirement + Assembly based on item drops in latest possible tier
NXZR	Obtain the Gud raider chainbody	The body is obtained as a very rare drop from Goblin raids. The raids happen twice an hour.	3	Beginner	Elite	Master	Timegated + RNG
JM78	Obtain the Gud raider shield	The shield is obtained as a very rare drop from Goblin raids. The raids happen twice an hour.	3	Beginner	Elite	Legendary	Timegated + RNG
R8N2	Obtain the Gud raider axe	The axe is obtained as a very rare drop from Goblin raids. The raids happen twice an hour.	3	Beginner	Master	Legendary	Timegated + RNG
YVG7	Obtain the Mimic plushie	Obtained as a very rare drop from the hard and elite versions of the Giant Mimic.	5	Master	Legendary	God	Mimic Token + RNG
85E9	Obtain the Mimic helm	Obtained as a very rare drop from the hard and elite versions of the Giant Mimic.	5	-	Legendary	God	Mimic Token + RNG
VV83	Obtain the Mimic pet	Obtained as a very rare drop from any version of the Giant Mimic.	5	-	Legendary	God	Mimic Token + RNG
2QE2	Obtain the Mimic tongue cape	Obtained as a very rare drop from the hard and elite versions of the Giant Mimic.	5	-	Legendary	God	Mimic Token + RNG
3Q6E	Obtain the Shard of Malice weapon token	Obtained as a rare drop from the hard and elite versions of the Giant Mimic.	5	Hard	Elite	Master	Mimic Token + RNG
G7EE	Obtain the Shard of Suffering weapon token	Obtained as a rare drop from the hard and elite versions of the Giant Mimic.	5	Hard	Elite	Master	Mimic Token + RNG
786D	Obtain the Shard of Havoc weapon token	Obtained as a rare drop from the hard and elite versions of the Giant Mimic.	5	Hard	Master	Legendary	Mimic Token + RNG
KZE3	Obtain the Shard of Energy weapon token	Obtained as a rare drop from the hard and elite versions of the Giant Mimic.	5	Hard	Master	Legendary	Mimic Token + RNG
B2E5	Obtain the Shard of Chaos weapon token	Obtained as a rare drop from the hard and elite versions of the Giant Mimic.	5	Hard	Master	Legendary	Mimic Token + RNG
M4GY	Obtain the Shard of Despite weapon token	Obtained as a rare drop from the hard and elite versions of the Giant Mimic.	5	Hard	Legendary	God	Mimic Token + RNG
YRDJ	Create all hydrix jewellery	The ring can be created by enchanting a hydrix ring. A Crafting level of 79 is required.	5	Hard	Elite	Master	Crafting level + Reaper requirement
Z2V8	Imbue and overcharge a Ring of Death	The ring can be created by enchanting a hydrix ring. It can then be imbued for a cost of 15,000 Teci at the Armoursmith on Mazcab. It can also be overcharged by buying the unlock for 150 Reaper points and then combining it with 5 cut onyxes and 25 black stone hearts by handing those in to Death. A Crafting level of 79 is required.	4	Elite	Master	Legendary	Crafting level + Reaper requirement + Raids
YVW7	Create the Book of Death	The ability to craft the book can be unlocked for 500 Reaper points. A cut hydrix and 4 Death notes, costing 40 Reaper points each, are used to make the book. A Crafting level of 80 is required.	5	Hard	Elite	Master	Crafting level + Reaper requirement
85D9	Unlock the Reaper's choice perk	Unlocked in the Reaper store for 250 Reaper Points. It gives you a 10% chance of being able to choose your assignment when receiving a new one. Rerolled assignments also have this chance.	3	Medium	Hard	Elite	Reaper Requirement
3J8M	Unlock the ability to buy further reaper assignments with Slayer points	Bought from Death costing 150 reaper points.	3	Medium	Hard	Elite	Reaper Requirement
VVW3	Obtain the Mahjarrat aura	Unlocked in the Reaper store for 1,000 Reaper Points. It increases the damage you deal and divine location cap by 5% for one hour each day.	5	Elite	Master	Legendary	Reaper Requirement
2QD2	Unlock the Reaper scroll	Unlocked in the Reaper store for 250 Reaper Points. It permanently increases the Slayer XP received from reaper tasks by 50%.	3	Hard	Elite	Master	Reaper Requirement
E2G7	Unlock the instance cost reduction	Unlocked in the Reaper store for 250 Reaper Points. It permanently reduces the cost of boss instancing by 25%.	3	Hard	Elite	Master	Reaper Requirement
6QDQ	Unlock the Bonfire booster	Unlocked in the Reaper store for 250 Reaper Points or 2,500 Slayer Points. It permanently increases the duration of bonfire health boosts by 25%.	3	Hard	Elite	Master	Reaper Requirement
Q8W4	Unlock Death's Support	Unlocked in the Reaper store for 250 Reaper Points. It permanently doubles the amount healed from sign and portent of life and death.	3	Hard	Elite	Master	Reaper Requirement
D29Q	Unlock the Rainbow loot beam	Unlocked in the Reaper store for 75 Reaper Points or 750 Slayer Points.	3	Medium	Hard	Elite	Reaper Requirement
WVWZ	Unlock the Grave loot beam	Unlocked in the Reaper store for 75 Reaper Points or 750 Slayer Points.	3	Medium	Hard	Elite	Reaper Requirement
5QGR	Obtain the Death Scythe	Unlocked upon completion of 100 Reaper assignments.	4	-	Medium	Hard	Reaper Requirement
3QDE	Obtain Tiny Death	Unlocked upon completion of 200 Reaper assignments.	4	Medium	Hard	Elite	Reaper Requirement
B2M5	Obtain the Vanquisher's gauntlets	Requires a total of 250 bosses killed, with at least 5 kills on each boss.	5	Master	Legendary	God	Can't kill all bosses before Master tier
78DD	Obtain the Vanquisher's greaves	Requires a total of 500 bosses killed, with at least 10 kills on each boss.	5	Master	Legendary	God	Can't kill all bosses before Master tier
M42Y	Obtain the Vanquisher's cuisses	Requires a total of 1,000 bosses killed, with at least 20 kills on each boss.	5	Master	Legendary	God	Can't kill all bosses before Master tier
KZ83	Obtain the Vanquisher's cuirass	Requires a total of 1,500 bosses killed, with at least 30 kills on each boss.	5	Master	Legendary	God	Can't kill all bosses before Master tier
G7NE	Obtain the Vanquisher's skull	Requires a total of 2,500 bosses killed, with at least 50 kills on each boss.	5	Master	Legendary	God	Can't kill all bosses before Master tier
Z2W8	Unlock the War's Retreat teleport	Unlocked in War's Wares after having at least 10 boss kills.	1	-	-	Easy	Can't kill bosses until easy tier
98D3	Unlock the Boss portal at War's Retreat	Unlocked in War's Wares after having at least 100 boss kills.	2	-	-	Easy	Can't kill bosses until easy tier
4QDN	Unlock the Altar of War	Unlocked in War's Wares after having at least 200 boss kills.	2	-	Easy	Medium	Can't kill bosses until easy tier
8G85	Unlock the 'refresh ability cooldown' ability at the Altar of War	This unlock requires 500 boss kills.	2	-	Easy	Medium	Can't kill bosses until easy tier
XVW7	Unlock the Adrenaline crystals at War's Retreat	Unlocked in War's Wares after having at least 1,000 boss kills.	2	Easy	Medium	Hard	Can't kill bosses until easy tier
784R	Unlock the Adrenaline potion refresh at War's Retreat	Unlocked in War's Wares after having at least 2,000 boss kills.	3	Easy	Medium	Hard	Can't kill bosses until easy tier
KZ3X	Obtain the Vampyrism aura	Unlocked in War's Wares for 5,000 Marks of War.	3	-	Easy	Medium	Can't kill bosses until easy tier
B23N	Obtain the Dark magic aura	Unlocked in War's Wares for 12,500 Marks of War.	4	-	Easy	Medium	Can't kill bosses until easy tier
M43E	Obtain the Berserker aura	Unlocked in War's Wares for 25,000 Marks of War.	4	Easy	Medium	Hard	Can't kill bosses until easy tier
Z2QB	Obtain the Reckless aura	Unlocked in War's Wares for 25,000 Marks of War.	4	Easy	Medium	Hard	Can't kill bosses until easy tier
98NK	Obtain the Maniacal aura	Unlocked in War's Wares for 25,000 Marks of War.	4	Easy	Medium	Hard	Can't kill bosses until easy tier
4QM2	Die by the Blade!	Get killed by a Hanto sellsword in the Temple of Aminishi. Not safe for hardcores! Ensure you have an extra life.	3	-	Hard	Elite	Normal mode Sanctum Guardian requires Hard tier
EV2B	Receive thanks from Gorvek by becoming the MVP of a Croesus encounter	To become the MVP, you must be the top contributing player in the encounter.	3	Hard	Hard	Elite	Do well at Croesus once
NX3X	Get rescued by the Sign of Life effect 50 times!	Trigger a sign of life effect a total of 50 times. Activating a sign of death, portent of life, portent of death or the Defence cape perk also counts for this.	4	Medium	Hard	Elite	Passively obtained
NQQV	Obtain the Golden Soul cape	Completion of the Nomad's Elegy quest is required. Defeat the Memory of Nomad encounter in under 6 minutes.	5	-	-	Master	Unlock in Master task
7BKJ	Unlock the 'the Warden' title	Obtaining the title requires you to manage a Telos kill at 500% enrage.	5	Master	Master	Legendary	Boss experience
823M	Become the Silver Warden	Obtaining the title requires you to manage a Telos kill at 2,000% enrage.	5	Master	Legendary	God	Boss experience
223Y	Become the True Warden	Obtaining the title requires you to manage a Telos kill at 4,000% enrage.	5	Master	Legendary	God	Boss experience
4Y5J	Defeat Araxxi at 300% Enrage	Path 2/Path 3 would be highly recommended. Refer to the wiki to see what paths are open currently.	5	Elite	-	Master	Boss experience
JBKJ	Unlock the 'the Iceborn' title	Defeat the Arch-Glacor at 500% enrage. Good luck.	5	Hard	Elite	Master	Boss experience
M9K2	Become the silver Iceborn	Defeat Icy Telos (otherwise known as Arch-Glacor) at an enrage of 2,000% or higher. Good luck.	5	-	Master	Legendary	Boss experience
ZX7Q	Become the True Iceborn	Defeat Icy Telos (otherwise known as Arch-Glacor) at an enrage of 4,000% or higher. Good luck.	5	-	Legendary	God	Boss experience
79Q3	Unlock the Arch-Gladys skin for Gladys	The Arch-Gladys skin for Gladys is unlocked after defeating the Hardmode version of the Arch-Glacor 1,000 times.	5	-	Master	Legendary	High boss KC
X92R	Unlock the Time Clone skin for Kerry	The Time Clone skin for Kerry is unlocked after defeating the Hardmode version of Kerapac 1,000 times.	5	-	Master	Legendary	High boss KC
6ZQE	Unlock the reskinned-variant of the Little Sus pet	The purple skin variant is obtained by defeating Croesus 1,000 times.	4	-	Master	Legendary	High boss KC
X99G	Unlock the reskinned-variant of Little Zuk pet	The reskin can be obtained by defeating TzKal-Zuk 200 times in Hard Mode.	4	-	-	Legendary	High boss KC
Z9D6	Unlock the Raptor's Advanced outfit	The Raptors outfit can be obtained from looting the Raptors chest. Raptor key parts can be obtained from Archeron mammoths, Ripper demons, Living wyverns and Camel warriors.	4	Elite	-	Master	Assembly based on item drops in latest possible tier
2XW3	Unlock the ability to create hard mode Vorago instances	The hard mode option for Vorago is unlocked after a performing the finishing blow on Vorago with the Maul of Omens on all six of the weekly Vorago rotations (Ceiling collapse, Scopulus, Vitalis, Green bomb, TeamSplit, and The End). You can see which conditions you lack by reading the sign near the entrance to the borehole.	5	Elite	Master	Legendary	Timegated + boss locked to Elite+
DYB9	Defeat each of the Barrows brothers dealing the killing blow with their own weapon	Most weapons should be obtained by this point. If not good luck, and have fun!	4	Hard	Elite	Master	Linza + Akrisae unlock in Hard, weapon RNG until log completion in Master
8K7N	Unlock the 'Wrath of Chaos' title	This title is unlocked after defeating Zamorak, Lord of Chaos at solo 500% enrage	5	Elite	Master	Legendary	Boss experience
VX3N	Unlock the silver 'Wrath of Chaos' title	This title is unlocked after defeating Zamorak, Lord of Chaos at solo 2,000% enrage	5	Elite	Master	Legendary	Boss experience
2XZ3	Unlock the gold 'Wrath of Chaos' title	This title is unlocked after defeating Zamorak, Lord of Chaos at solo 4,000% enrage	5	Master	Legendary	God	Boss experience
EBJZ	Unlock the 'Lord of Chaos' title	This title is unlocked after defeating Zamorak, Lord of Chaos at 500% enrage in a group	5	Elite	Master	Legendary	Boss experience
6YM5	Unlock the silver 'Lord of Chaos' title	This title is unlocked after defeating Zamorak, Lord of Chaos at 2,000% enrage in a group	5	Elite	Master	Legendary	Boss experience
QBGD	Unlock the gold 'Lord of Chaos' title	This title is unlocked after defeating Zamorak, Lord of Chaos at 4,000% enrage in a group	5	Master	Legendary	God	Boss experience
JM3D	Obtain the full Globetrotter outfit	Unlocked in Zaida's Treasure Trails Reward shop for a total of 4,950 Treasure Trail points.	5	Elite	Elite	Master	Based on required Treasure Trail points
K7MV	Unlock the way of the foot-shaped key	Unlocked in Zaida's Treasure Trails Reward shop for 500 Treasure Trail points.	4	Elite	Elite	Master	Based on required Treasure Trail points
R83V	Obtain Blue the pupper	Unlocked in Zaida's Treasure Trails Reward shop for 2,500 Treasure Trail points.	5	Elite	Master	Legendary	Based on required Treasure Trail points
YVQ4	Unlock the 'the Explorer' title	Unlocked in Zaida's Treasure Trails Reward shop for 750 Treasure Trail points.	4	Elite	-	Master	Based on required Treasure Trail points
85XK	Unlock the 'Globetrotter' title	Unlocked in Zaida's Treasure Trails Reward shop for 750 Treasure Trail points.	4	Elite	-	Master	Based on required Treasure Trail points
VVQ8	Unlock the 'the Enigmatologist' title	Unlocked in Zaida's Treasure Trails Reward shop for 750 Treasure Trail points.	4	Elite	-	Master	Based on required Treasure Trail points
BDVV	Unlock the clue capacity upgrade	Unlocked in Zaida's Treasure Trails Reward shop for 750 Treasure Trail points.	4	Elite	-	Master	Based on required Treasure Trail points
2QK6	Obtain all General clue uniques	These are tracked in the general tab of your Treasure Trail Collection Log.	4	-	Elite	Master	Clue RNG
E23G	Construct and fill all Hidey-holes	A Construction level of 88 is required. Fill all 58 of the Treasure Trail hidey-holes. A complete list of hidey-holes can be found at the noticeboard by Zaida and in the Treasure Trail collection log.	4	-	Elite	Master	Drop RNG
6Q99	Dig up a Clue scroll using the Meerkat familiar's special move	A Summoning level of 4 is required. Use the Meerkat's special move called fetch casket. The pouches and scrolls can both be obtained as a general reward from any tier of Treasure Trail. The pouch can be turned into scrolls if so needed.	1	Beginner	-	Easy	Early Clue RNG
ZYXK	Create all illuminated god books	A Prayer and Crafting level of 60 are required as well as completion of the quest One Piercing Note. Use a filled Book of Balance on the book-making table in the Abbey of St. Elspeth Citharede.	3	Medium	-	Hard	Clue RNG
X9WJ	Don't skip a celtic knot	Solve a celtic knot puzzle while completing elite clue scrolls.	2	-	-	Hard	Based on first Elite task
N4WZ	Don't skip a lockbox puzzle	Solve a lockbox puzzle while completing master clue scrolls.	2	-	-	Elite	Based on first Master task
JBYW	Don't skip a puzzle box	Solve a puzzle box while completing hard or elite clue scrolls.	2	-	-	Medium	Based on first Hard task
RGWW	Don't skip a towers puzzle	Solve a towers puzzle while completing master clue scrolls.	2	-	-	Elite	Based on first Master task
DDV7	Unlock the 'Double Agent' title	This title requires you to log any cape slot item, any piece of Third-Age Equipment, one of either the Barrows or Shadow dyes and all other uniques (including all masks) in the hard tier of the Treasure Trail collection log.	5	Master	Legendary	God	Clue completion RNG
5WM2	Unlock the 'the Clue Chaser' title	This title requires you to log any cape slot item, any piece of Third-Age Druidic Equipment, any dye and all other uniques (including all masks and God Bows) in the elite tier of the Treasure Trail collection log.	5	Master	Legendary	God	Clue completion RNG
GDV7	Unlock the 'Master of Clues' title	This title requires you to log any cape slot item, any piece of Second-Age Equipment, every type of dye and all other uniques (including all masks and glasses) in the master tier of the Treasure Trail collection log.	5	-	-	God	Clue completion RNG
7V9V	Unlock the golden 'Master of Clues' title	This title requires you to log all capes, 1 piece of each Second-Age style (Melee, Magic, and Ranged), Orlando Smith's Hat and all other uniques (including all masks and glasses) in the master tier of the Treasure Trail collection log. Good luck!	5	-	-	God	Clue completion RNG
WD3R	Obtain Artemis, the clue scroll pet	You have a chance of obtaining a golden compass while completing clue steps or opening caskets. Interacting with it unlocks the pet.	5	Beginner	Legendary	God	Clue RNG
KMNB	Complete a grand total of 1,000 clue scrolls	An unlock in the Easy tier allows you to complete clue scrolls at will.	3	Hard	-	Elite	Based on placement of clue tasks
78NR	Read all the Murals in the Sunken Pyramid	A Slayer level of 99 is required. A minimum of 110 souls must be captured and registered in your Slayerdex.	5	-	-	Master	Based on amount of souls required
6Z4W	Unlock the 'the Adventurer' title	The title is unlocked by allocating a total of 50 quest points into the Hub track at May's Quest Caravan.	1	Beginner	Easy	Medium	Based on quest points obtained after Vanquish track
3NWR	Help Pastkeeper Sharrigan to remember all stories within the Dream of Iaia	New memories have a rare chance of triggering when skilling at the skilling stations within the Dream of Iaia. Skilling at the stations require Anachronia base camp resources. This task benefits from the lorehound's Lore Helper" perk."	4	Elite	Elite	Master	Unlock in Elite task
EVXR	Obtain the Master quest cape	The cape can be obtained by completing all Master quest cape achievements.	5	-	-	Master	Forced by Master tasks
ZRXM	Assemble a Tuska mask	The five pieces of the mask will be obtained during Airut slayer tasks.	4	Hard	Elite	Master	Assembly based on item drops in latest possible tier
V44R	Unlock the 'of the Ithell' title	Craft 100 Crystal flasks.	3	-	-	Elite	Crafting requirement
75NB	Unlock the 'of the Meilyr' title	Harvest 50 Harmony Moss from the Harmony Pillars in the Meilyr district.	3	-	Hard	Elite	Pillar RNG
6ZN3	Obtain the Completionist cape	The cape can be obtained by completing all Completionist achievements.	4	-	-	Master	Forced by Master tasks
55BG	Obtain Zez, the Runescore pet	Zez is unlocked upon reaching 5k total Runescore.	1	-	-	Medium	Forced by task progression
357B	Upgrade Zez for the first time	Zez upgrades for the first time upon reaching 10k total Runescore.	2	-	-	Hard	Forced by task progression
GQ25	Upgrade Zez for the second time	Zez upgrades for the second time upon reaching 15k total Runescore.	3	-	-	Elite	Forced by task progression
7KZX	Upgrade Zez for the third time	Zez upgrades for the third time upon reaching 20k total Runescore.	4	-	-	Elite	Forced by task progression
KV26	Upgrade Zez for the fourth time	Zez upgrades for the fourth time upon reaching 25k total Runescore.	5	-	-	Master	Forced by task progression
GZJ2	Upgrade Zez for the fifth time	Zez upgrades for the fifth time upon reaching 30k total Runescore.	5	-	-	God	Forced by task progression
QJR6	Obtain the Completionist cape (t)	The cape can be obtained by completing all Trimmed completionist cape achievements.	5	-	-	God	Forced by mode completion
M6E7	Complete a lap of the Anachronia agility course in less than seven minutes	Going counter-clockwise and using Surge and Bladed dive with the Mobile perk strategically, increases your speed significantly.	3	-	-	Elite	Agility requirement
9X2R	Tour d'Anachronia, clock- and counter-clockwise	Complete the entire Anachronia course in both directions.	3	-	-	Elite	Agility requirement
98RK	Train on a Serenity post 25 times	Train on serenity posts for the daily cap, which is 20,000 Agility experience, 25 times.	4	Hard	Elite	Master	Prif unlock required
X9QJ	Have three active relic powers at the same time	After offering relics to the mysterious monolith, you can activate up to three powers at once, at a cost of chronotes and monolith energy.	2	-	Beginner	Easy	3 powers guaranteed in Easy
GWDQ	Attempt to attach an Armadyl Hilt to a damaged Prototype Godsword	Prototype Godsword can be obtained from completing the Armadylean special research. A Stormguard Gerege must be added to your toolbelt to complete this task. An Archaeology level of 95 is required.	3	Hard	-	Elite	Assembly based on item drops in latest possible tier
BV3M	Finish researching the Archaeology Guild	Complete all special research missions relating to the Archaeology Guild. This requires an Archaeology level of 99.	3	-	Elite	Master	Archaeology requirement
M933	Finish researching the Senntisten digsite	Complete all special research missions relating to Senntisten. This requires an Archaeology level of 67.	3	-	Medium	Hard	Archaeology requirement
ZXQJ	Finish researching the Infernal Source digsite	Complete all special research missions relating to the Infernal Source. This requires an Archaeology level of 98.	3	-	Elite	Master	Archaeology requirement
9XNJ	Finish researching the Everlight digsite	Complete all special research missions relating to Everlight. This requires an Archaeology level of 105.	4	-	Elite	Master	Archaeology requirement
ENE3	Finish researching the Kharid-et digsite	Complete all special research missions relating to Kharid-et. This requires an Archaeology level of 107.	4	-	-	Master	Archaeology requirement
X9QZ	Finish researching the Stormguard Citadel digsite	Complete all special research missions relating to the Stormguard Citadel. This requires an Archaeology level of 118.	5	-	-	Master	Archaeology requirement
N43V	Finish researching the Warforge! digsite	Complete all special research missions relating to the Warforge!. This requires an Archaeology level of 119.	5	-	-	Master	Archaeology requirement
JB36	Finish researching the Orthen digsite	Complete all special research missions relating to Orthen. This requires an Archaeology level of 120.	5	-	Master	Legendary	Archaeology requirement
4B98	Send 5 of your consultants off to research together	Consultants are recruited to your research team when you solve all mysteries at their respective digsites. Completion of this task will require an Archaeology level of 110.	5	-	-	Master	Archaeology requirement - 5 consultants available in Master
4Q92	Complete a total of 200 collections	Completing any collection, done by handing it in in its entirety, counts, including the same collection many times over.	5	-	-	Elite	Collections required for various tasks
NX5X	Have your researchers go at it for 1440 hours	Research is unlocked by reaching the assistant qualification. From that point, you are allowed to conduct research whenever you have spare chronotes.	3	Elite	-	Master	Timegated + chronotes locked
JM5D	Excavate a total of 2500 artefacts	All artefacts excavated by you count.	5	-	-	Master	Excavations required for tasks
R8KV	Restore a total of 2500 artefacts	All artefacts restored by you count.	5	-	Master	Legendary	Restoration not enforced by tasks
YVN4	Excavate at Kharid-Et while the Pylons are active	An Archaeology level of 12 is required. Once the pylons have been charged to 100% there is a 30 minute time-span in which excavating at the Kharid-Et site has additional buffs.	1	Beginner	-	Easy	Timegated
3K6W	Restore the Inquisitor Staff to its former glory	The inquisitor staff requires you to find three incredibly rare pieces while excavating at Kharid-et, then assemble them (along with a praetorian staff) with a Runecrafting level of 93.	5	-	Master	Legendary	Assembly based on item drops in latest possible tier
RXWB	Do a pretty crappy job on a construction contract	Earn a single credit from completing a construction contract. Use only basic materials.	2	-	-	Easy	First construction contract task
Y2W3	Do a freakin' excellent job on a construction contract!	Earn 5 credits from a construction contract. Use only mahogany planks.	3	-	Medium	Hard	First construction contract task + construction level
JDYQ	Complete a total of 100 construction contracts	Complete a total of 100 contracts given to you by the estate agents. I suggest looking into upgrading your own house after this, it deserves some attention.	4	-	Hard	Elite	Forced by task requirements
85JK	Talk to the Drunken Dwarf while carrying 28 different Ales	A Cooking level of 64 is required. Most of the mature versions can only be obtained through brewing.	5	Hard	Elite	Master	Timegated + The Stuff drops
MMRD	Taste ALL the fishy dishes	A Cooking level of 99, a Fishing level of 68 and the completion of the quest Heroes' Quest are required.	5	-	-	Master	Cooking level + Ports soup recipe
MG6V	Check out the School of Jewels	A Crafting level of 79 is required.	5	Hard	-	Elite	Crafting level + Reaper requirement
8KGZ	Create all alchemical jewellery	The brooch can be created by enchanting an alchemical hydrix brooch. A Crafting level of 97 is required.	5	-	-	Master	Crafting level + Reaper requirement
D25B	Claim 25 rewards from the Motherlode Maw in the Edimmu resource dungeon	A Dungeoneering level of 115 is required. The Motherlode Maw can be looted once a day.	5	Master	-	Legendary	Dungeoneering requirement + timegate
WV4J	Complete the Rabbit breeding log	Completing the log requires all variants of the species to be bred, shinies included.	3	Beginner	-	Easy	Timegated
5Q43	Complete the Chicken breeding log	Completing the log requires all variants of the species to be bred, shinies included.	3	Beginner	-	Easy	Timegated
3QZX	Complete the Sheep breeding log	Completing the log requires all variants of the species to be bred, shinies included.	3	Easy	-	Medium	Timegated
G75R	Complete the Frog breeding log	Completing the log requires all variants of the species to be bred, shinies included.	4	Easy	-	Medium	Timegated
78XR	Complete the Cow breeding log	Completing the log requires all variants of the species to be bred, shinies included.	4	Easy	Medium	Hard	Timegated
B2GN	Complete the Chinchompa breeding log	Completing the log requires all variants of the species to be bred, shinies included.	4	Medium	Hard	Master	Timegated
M4YE	Complete the Spider breeding log	Completing the log requires all variants of the species to be bred, shinies included.	4	Medium	-	Hard	Timegated
Z25B	Complete the Yak breeding log	Completing the log requires all variants of the species to be bred, shinies included.	4	Medium	-	Hard	Timegated
98JK	Complete the Jadinko breeding log	Completing the log requires all variants of the species to be bred, shinies included.	4	Medium	Hard	Elite	Timegated
4QZ2	Complete the Zygomite breeding log	Completing the log requires all variants of the species to be bred, shinies included.	4	Medium	Hard	Elite	Timegated
XV52	Complete the Dragon breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	Hard	Elite	Master	Timegated
JMND	Complete the Varanusaur breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	-	Elite	Master	Timegated + Breedable dinosaur pair tasks
R86V	Complete the Arcane apoterrasaur breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	-	Elite	Master	Timegated + Breedable dinosaur pair tasks
YV54	Complete the Brutish dinosaur breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	-	Elite	Master	Timegated + Breedable dinosaur pair tasks
85NK	Complete the Salamander breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	-	-	Elite	Timegated
VV58	Complete the Scimitops breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	-	Elite	Master	Timegated + Breedable dinosaur pair tasks
2QB6	Complete the Bagrada rex breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	-	Master	Legendary	Timegated + Breedable dinosaur pair tasks
E2MG	Complete the Spicati apoterrasaur breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	-	Master	Legendary	Timegated + Breedable dinosaur pair tasks
6Q49	Complete the Asciatops breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	-	Master	Legendary	Timegated + Breedable dinosaur pair tasks
Q8E7	Complete the Corbicula rex breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	-	Master	Legendary	Timegated + Breedable dinosaur pair tasks
D2BB	Complete the Oculi apoterrasaur breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	-	Master	Legendary	Timegated + Breedable dinosaur pair tasks
WVGJ	Complete the Malletops breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	Master	Legendary	God	Timegated + Breedable dinosaur pair tasks
5Q93	Complete the Pavosaurus rex breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	Master	Legendary	God	Timegated + Breedable dinosaur pair tasks
QJE9	Unlock the 'Old Mc' title	The title is unlocked by talking to Sam or Stan the sheepdog at Manor Farm or the Ranch Out of Time respectively, after fully completing the breeding log.	5	-	Legendary	God	Timegated + Breedable dinosaur pair tasks
